AVALUADOR,[14]
AVENIDOR,[22]
AVENTADOR,"[22, 23]"
AVENTURERO,"[24, 21, 22]"
AVERIGUADOR,[23]
AVIADOR,"[22, 15]"
AVICULTOR,"[12, 13, 15, 18, 22, 24]"
AVISACOCHES,[15]
AVISADOR,[22]
AYA,[24]
AYO,"[21, 22]"
AYUDA,[22]
AYUDADOR,[22]
AYUDANTE,"[14, 15, 16, 22, 24]"
AYURVEDISTA,[16]
AZABACHERO,"[10, 15]"
AZADONERO,[22]
AZAFATA,"[12, 14, 22]"
AZAFATO,"[16, 15]"
AZAFRANERO,[15]
AZOGADOR,[15]
AZOTADOR,[22]
AZUCARERO,"[22, 15]"
AZUFRADOR,"[23, 22, 15]"
AZULEJERO,"[22, 14, 15]"
BABUCHERO,[15]
BACALADERO,[15]
BACHILLER,"[21, 22, 15]"
BACINERO,[22]
BACTERIOLOGO,"[12, 13, 14, 15, 18, 22]"
BAGACERO,[14]
BAGAJERO,"[22, 15]"
BAGARINO,[22]
BAILADOR,"[21, 22, 23]"
BAILARIN,"[10, 14, 15, 16, 20, 21, 24]"
BAILE,[22]
BAILINISTA,[22]
BAILIO,[22]
BAJA,[22]
BAJELERO,[22]
BAJISTA,"[24, 15]"
BAJO,"[24, 22]"
BAJON,[22]
BAJONISTA,"[22, 15]"
BALADISTA,[15]
BALANCERO,"[22, 15]"
BALANDRISTA,[15]
BALANZARIO,[15]
BALDOSADOR,[15]
BALISTARIO,[22]
BALLARIN,[17]
BALLENERO,"[21, 22, 15]"
BALLESTEADOR,[23]
BALLESTERO,"[24, 19, 22, 15]"
BALONCESTISTA,[15]
BALONMANISTA,[15]
BALSERO,"[22, 15]"
BANASTERO,"[22, 15]"
BANCALERO,[22]
BANDERILLERO,"[24, 22, 15]"
BANDIDO,[22]
BANDOLERO,"[21, 22]"
BANDOLONISTA,[22]
BANDONEONISTA,[15]
BANDURRISTA,"[22, 15]"
BANERO,"[24, 11, 22, 15]"
BANIANO,[22]
BANISTA,"[16, 15]"
BANJO,[15]
BANQUERO,"[24, 22, 15]"
BARATERO,"[24, 22]"
BARATILLERO,[15]
BARBERO,"[1, 10, 11, 14, 15, 19, 21, 22, 24]"
BARCHILON,[22]
BARCINADOR,[22]
BARDIOTA,[22]
BARDO,[22]
BARITONO,"[24, 22, 15]"
BARMAN,"[24, 14, 15]"
BARNABITA,[22]
BARNIZADOR,"[22, 14, 15]"
BARON,"[24, 22, 15]"
BARONESA,"[22, 15]"
BARQUERO,"[24, 10, 22, 15]"
BARQUILLERO,"[10, 15, 19, 22, 24]"
BARRAQUERO,"[22, 15]"
BARREDOR,"[23, 15]"
BARRENAADOR,[11]
BARRENADOR,[14]
BARRENDERO,"[1, 11, 12, 14, 15, 16, 22, 24]"
BARRENERO,"[24, 22, 14, 15]"
BARRERO,"[24, 19]"
BARRETER,[17]
BARRETERO,[22]
BARRILERO,[22]
BARRILLERO,[22]
BARRISTA,[22]
BASCULERO,[15]
BASILIO,[22]
BASTANTERO,[22]
BASTERO,"[11, 19]"
BASTONERO,"[22, 15]"
BASURERO,"[24, 15]"
BATANERO,"[19, 22, 14, 15]"
BATELERO,"[24, 22, 15]"
BATERIA,[15]
BATERISTA,[15]
BATERO,[22]
BATIDOR,"[24, 22, 15]"
BATIHOJA,"[19, 22, 15]"
BATUTA,[15]
BAULERO,"[19, 22, 15]"
BAYADOER,[22]
BEATO,"[24, 22]"
BECARIO,[22]
BECERRERO,[22]
BECERRISTA,"[24, 15]"
BEDEL,"[12, 13, 15, 18, 22]"
BEISBOLISTA,[15]
BELENISTA,[15]
BELICOSO,[24]
BELITRE,[21]
BELLOTERO,[15]
BENDECIDOR,[22]
BENEDICTINO,[22]
BENEFICIARIO,[24]
BENITO,[22]
BERENJENERO,[21]
BERNARDO,[22]
BESTIARIO,[24]
BESUGUERO,[22]
BETLEMITA,[22]
BETUNERO,"[22, 15]"
BEY,[22]
BIARCA,[22]
BIATLETA,[15]
BIBLIOGRAFO,"[12, 13, 14, 15, 18, 22, 24]"
BIBLIOTECARI,[17]
BIBLIOTECARIO,"[12, 13, 14, 15, 16, 18, 20, 22, 24]"
BIBLIOTECOLOGO,"[14, 15]"
BIBLISTA,[15]
BILLARISTA,[15]
BILLETERO,[15]
BINADOR,[22]
BIOCENOLOGO,[15]
BIOCLINICO,[15]
BIODOCUMENTALISTA,[15]
BIOESTADISTICO,[15]
BIOFISICO,"[12, 13, 14, 15, 18]"
BIOGEOGRAFO,[15]
BIOGRAFO,"[12, 13, 14, 15, 18, 22]"
BIOINFORMATICO,[15]
BIOINGENIERO,[15]
BIOLEG,[17]
BIOLOGO,"[10, 13, 14, 15, 16, 18, 20, 24]"
BIOMEDICO,[15]
BIOMETALURGICO,[15]
BIOMETRISTA,"[14, 15]"
BIOQUIMICO,"[10, 12, 13, 14, 15, 18]"
BIOTECNOLOGO,[15]
BISELADOR,"[14, 15]"
BISUTERO,"[14, 15]"
BIZANTINISTA,[15]
BIZCOCHERO,"[24, 22, 14, 15]"
BLANQUEADOR,"[23, 15]"
BLANQUERO,"[22, 15]"
BLASONISTA,"[22, 15]"
BOBINADOR,"[14, 15]"
BOCETISTA,[24]
BOCINERO,[22]
BODEGONERO,"[24, 21, 22]"
BODEGUERO,"[24, 22, 14, 15]"
BOGADOR,"[22, 15]"
BOLANDISTA,[22]
BOLEADOR,[22]
BOLERO,[22]
BOLETERO,[22]
BOLICHERO,[22]
BOLILLERA,[19]
BOLLERO,"[24, 22, 15]"
BOLONIO,[22]
BOLSERO,"[22, 15]"
BOLSISTA,"[24, 22, 15]"
BOMBARDERO,"[24, 22, 15]"
BOMBARDINO,[15]
BOMBER,[17]
BOMBERO,"[12, 14, 15, 16, 20, 22]"
BOMBISTA,[15]
BOMBO,"[22, 15]"
BOMBONERO,[15]
BONETERO,"[10, 21, 15]"
BONETSERO,[22]
BONZO,"[22, 15]"
BOQUILLERO,[11]
BORCEGUINERO,"[22, 15]"
BORDADOR,"[10, 14, 15, 16, 22, 23, 24]"
BORDADORA,[19]
BORREGUERO,"[22, 15]"
BORRERO,[19]
BOTADOR,[22]
BOTANIC,[17]
BOTANICO,"[12, 13, 14, 15, 16, 18, 20, 22, 24]"
BOTANISTA,"[22, 23]"
BOTELLERO,"[24, 22, 15]"
BOTERO,"[11, 15, 19, 22, 24]"
BOTICARIO,"[14, 15, 19, 21, 22, 24]"
BOTIGUERO,[22]
BOTIJERO,"[24, 15]"
BOTILLER,[22]
BOTILLERO,[22]
BOTINERO,"[24, 22, 15]"
BOTONERO,"[22, 15]"
BOTONES,"[24, 22, 14, 15]"
BOVINOCULTOR,[15]
BOXEADOR,[15]
BOYARDO,[22]
BOYERO,"[10, 15, 21, 22, 24]"
BRACERO,"[10, 15, 19, 22, 24]"
BRAHMAN,"[24, 22]"
BRAMADOR,[22]
BRAVUCON,[24]
BREGADOR,[15]
BRIGADA,"[2, 15]"
BRIGADIER,"[2, 22]"
BRIGADIER GENERAL,[2]
BRIOLOGO,[15]
BROCKER,[15]
BRODADOR,[17]
BROMATOLOGO,[15]
BRONCISTA,"[23, 22, 15]"
BROQUELERO,[22]
BRUCERO,"[16, 22, 15]"
BRUJO,"[24, 21, 22]"
BRUNIDOR,"[22, 23, 14, 15]"
BUCEADOR,"[16, 24, 14, 15]"
BUCELARIO,[22]
BUFADOR,[17]
BUFON,"[10, 22]"
BUHERO,"[24, 22]"
BUHONERO,"[24, 10, 22, 15]"
BUITRERO,"[24, 22, 15]"
BUJIDOR,[15]
BULBICULTOR,[15]
BULDOZERO,[14]
BUNOLERO,"[22, 15]"
BURGARI,[22]
BURGOMAESTRE,"[24, 22]"
BURGRAVE,[22]
BURIELERO,[15]
BURLADOR,[21]
BUROCRATA,"[24, 22]"
BURRERO,"[22, 15]"
BUSCADOR DE ORO,[24]
BUSCONA,[22]
BUSSO,[17]
BUTANERO,[15]
BUTIFARRERO,"[22, 15]"
BUZO,"[22, 14, 15]"
CABALERO,[22]
CABALGADOR,[24]
CABALISTA,"[24, 22, 23]"
CABALLERIZO,"[24, 21, 22, 15]"
CABALLERO,"[24, 10, 21, 22]"
CABALLERO ALFEREZ,[2]
CABALLERO CADETE,[2]
CABALLICERO,[14]
CABALLISTA,"[24, 11]"
CABANERO,"[22, 15]"
CABARETERO,[15]
CABERO,[22]
CABESTRERO,"[22, 15]"
CABINERA,[14]
CABLEADOR,[16]
CABO,"[24, 2, 22, 15]"
CABO MAYOR,[2]
CABO PRIMERO,[2]
CABRERIZO,"[24, 21, 22]"
CABRERO,"[10, 21, 22, 15]"
CABRITERO,[22]
CACHARRERO,"[24, 22, 15]"
CACHETERO,"[22, 15]"
CACHUCHERO,"[22, 15]"
CACICA,[15]
CACIQUE,"[21, 22, 15]"
CADDIE,[15]
CADENERO,"[22, 14, 15]"
CADETE,"[2, 22, 15]"
CAFETERO,"[22, 15]"
CAFICULTOR,[15]
CAGARRACHE,[15]
CAICAMAN,[22]
CAID,[22]
CAIXER,[17]
CAJERO,"[10, 14, 15, 16, 22, 24]"
CAJISTA,"[24, 11, 22, 15]"
CAJONERO,"[24, 22]"
CALABACERO,[15]
CALABOCERO,"[22, 15]"
CALADOR,[15]
CALAFATE,"[24, 22, 15]"
CALAFATEADOR,"[11, 23, 22, 15]"
CALAFATERO,[19]
CALANDRADOR,[15]
CALANDRERO,[15]
CALASANCIO,[22]
CALATRAVO,[22]
CALCADOR,"[22, 15]"
CALCATRIFE,[22]
CALCETERO,"[19, 22, 15]"
CALCINERO,[22]
CALCOGRAFO,"[22, 15]"
CALCULADOR,[22]
CALCULISTA,"[22, 15]"
CALDERER,[17]
CALDERERO,"[10, 14, 15, 16, 19, 22]"
CALDERETERO,[15]
CALDERISTA,[14]
CALEFACTOR,[15]
CALENDARISTA,"[22, 15]"
CALERO,"[19, 22, 15]"
CALESERO,"[22, 15]"
CALESINERO,[22]
CALETERO,[15]
CALIBRADOR,[15]
CALIFA,[22]
CALIFICADOR,"[24, 22, 23]"
CALIGRAFO,"[24, 11, 22, 15]"
CALLISTA,"[24, 22, 15]"
CALZADOR,[11]
CAMALDULENSE,[22]
CAMALERO,[22]
CAMANDULENSE,[22]
CAMARA,"[24, 20, 15]"
CAMARERO,"[1, 12, 14, 15, 16, 22, 24]"
CAMARISTA,[15]
CAMARLENGO,"[24, 22]"
CAMAROGRAFO,"[24, 14, 15]"
CAMARONERO,"[22, 15]"
CAMAROTERO,[22]
CAMATISTA,[22]
CAMBIADOR,"[22, 15]"
CAMBIAVIA,[22]
